ヤバい		쩐다 · 미쳤다	좋을 때도 나쁠 때도 다 쓴다. 혼자 툭 던지는 감탄사.
やば		헐	ヤバい를 더 줄인 것. 젊은 층은 이쪽을 더 쓴다.
マジ		진짜 · 실화냐	マジで면 '진짜로'. 놀라서 되묻는 말.
まじか		실화냐	マジ에 か를 붙인 혼잣말. 대답을 바라고 하는 말이 아니다.
ガチ		찐 · 진심	マジ보다 '작정하고'에 가깝다. ガチで練習する.
めっちゃ		엄청	간사이 말인데 전국이 쓴다. とても의 회화판.
めんどい		귀찮아	めんどくさい를 줄인 말. 글로는 안 쓰고 입으로만.
だるい		나른하다 · 하기 싫다	몸이 무거울 때도, 그냥 만사 귀찮을 때도.
しんどい		힘들다	몸도 마음도. 간사이에서 올라와 이제 전국이 쓴다.
きつい		빡세다	일도 옷도 말도 きつい.
うざい		짜증난다	사람한테 쓰면 꽤 센 말이다.
きもい		징그럽다	気持ち悪い를 줄인 말. 세니까 친한 사이에서만.
ムカつく		열받는다	원래는 속이 메스껍다는 뜻이었다.
ウケる		웃기다 · 빵 터진다	웃긴 걸 본 그 자리에서 던진다.
草	くさ	ㅋㅋㅋ	웃음 wwww가 풀처럼 보여서 붙었다. 인터넷에서 나와 젊은 층은 소리 내서도 말한다.
エモい		뭉클하다	emotional에서. 그립고 아련해 뭐라 말 못 할 기분. 2010년대 후반부터 퍼졌다.
神	かみ	갓 · 최고	神対応、神回처럼 앞에 붙여 쓴다.
推し	おし	최애	응원하는 사람. 推し活은 덕질.
沼	ぬま	늪	沼にハマる — 푹 빠져서 못 나온다. 덕질 쪽에서 나온 말.
ハマる		빠지다	취미든 사람이든 푹.
バズる		떡상하다	인터넷에서 확 퍼지는 것. 이제 뉴스에서도 쓴다.
ググる		구글링하다	Google을 그대로 동사로 만들었다.
サボる		땡땡이치다	프랑스어 sabotage에서 왔는데 활용은 동사 그대로.
パクる		베끼다	남의 것을 그대로 가져오는 것.
やらかす		사고 치다	やらかした면 '나 일 냈다'.
詰んだ	つんだ	망했다	장기에서 온 말. 손 쓸 수가 없다. 게임 하는 쪽에서 퍼졌다.
ワンチャン		혹시 어쩌면	one chance에서. 가능성이 아주 없진 않을 때. 젊은 층 말이다.
とりま		일단	とりあえず、まあ를 줄인 채팅체. 젊은 층 말이다.
とりあえず		일단	술집에서 とりあえずビール가 정석이다.
一応	いちおう	일단은	확실하진 않지만 해는 뒀다고 할 때.
ぶっちゃけ		솔직히	말 꺼내기 전에 앞에 붙인다.
ちなみに		참고로	하던 말에 뭘 덧붙일 때.
逆に	ぎゃくに	오히려	요즘은 별 뜻 없이 말버릇으로도 붙인다.
それな		그니까 · 인정	상대 말에 완전 동의할 때 한 마디로 끝낸다.
わかる		알지	그대로 '안다'지만 맞장구로 훨씬 많이 쓴다.
あるある		그런 거 있지	다들 겪는 흔한 상황을 말할 때.
さすが		역시	기대한 대로 잘했을 때 하는 칭찬.
なるほど		그렇구나	맞장구. 윗사람에게는 조심하라는 말도 있다.
そっか		그렇구나	そうか의 부드러운 쪽. 혼잣말처럼 흘린다.
うそ		헐 · 거짓말	놀라면 반사적으로 나온다. 진짜 거짓말이라는 뜻이 아니다.
微妙	びみょう	애매하다 · 별로	대놓고 나쁘다고 안 하고 돌려 까는 말.
別に	べつに	딱히	뾰로통하게 받는 대표적인 대답.
無理	むり	못해 · 안 돼	거절할 때 제일 짧은 말.
しょうがない		어쩔 수 없다	仕方ない와 같은 말. 체념할 때.
なんとかなる		어떻게든 된다	걱정하는 사람 다독일 때.
ドンマイ		신경 쓰지 마	don't mind에서. 실수한 사람에게.
お疲れ	おつかれ	수고	인사도 되고 작별도 된다. おつ로 더 줄인다.
あざす		ㄳ	ありがとうございます를 확 줄인 말. 거칠어서 친한 사이에만.
了解	りょうかい	오케이	채팅에서 りょ로도 줄인다. 윗사람에겐 承知しました.
大丈夫	だいじょうぶ	괜찮아	권유를 거절할 때도 大丈夫です라고 한다.
テンション		기분 · 텐션	テンション高い는 들떴다는 뜻. 영어 tension과 다르다.
ノリ		분위기 · 흥	ノリがいい면 분위기 잘 타는 사람.
チル		칠 · 늘어지기	chill에서. 아무것도 안 하고 늘어지는 것. 20대 안쪽 말이다.
まったり		느긋하게	집에서 뒹굴 때 まったりする.
がっつり		제대로 · 실컷	がっつり食べる — 든든하게 먹는다.
さくっと		후딱	가볍고 빠르게 해치우는 것.
秒で	びょうで	순식간에	秒で終わる — 1초컷. 젊은 층이 쓴다.
ゆるい		널널하다	규칙도 옷도 분위기도.
テキトー		대충	適当인데 회화에선 '대충' 쪽으로 기운다.
ダサい		촌스럽다	옷도 행동도 이름도.
チャラい		껄렁하다	가볍고 겉멋 든 사람.
ぼっち		아싸 · 혼자	一人ぼっち를 줄인 말. 젊은 층이 쓴다.
ドタキャン		직전 취소	土壇場와 cancel을 붙였다. 약속 코앞에서 깨는 것.
ドン引き	ドンびき	확 깨다	말이나 행동에 정이 뚝 떨어질 때.
ドヤ顔	ドヤがお	우쭐한 표정	잘했지? 하는 얼굴.
気まずい	きまずい	어색하다	분위기가 굳어 말이 안 나올 때.
空気読む	くうきよむ	눈치채다	못 읽으면 KY — 空気読めない.
盛る	もる	뽀샵하다 · 부풀리다	사진도 이야기도 盛る.
ま、いっか		뭐 됐어	더 따지지 말고 넘어갈 때.
ほっとく		내버려 두다	放っておく의 줄임.
ドキドキ		두근두근	긴장하거나 설렐 때.
ぼちぼち		그럭저럭	잘 지내냐 물으면 되받는 대답.
しれっと		시치미 떼고	아무 일도 없었다는 듯이.
やっぱ		역시	やっぱり를 줄인 말. 생각을 되돌릴 때도 やっぱやめる.
なんか		뭔가 · 좀	말이 안 떠오를 때 사이에 끼우는 입버릇. 하루에 수십 번 나온다.
たしかに		확실히 · 그러네	상대 말이 맞다 싶을 때 제일 흔한 맞장구.
そうなんだ		그렇구나	처음 듣는 얘기에 되받는 말. 존댓말은 そうなんですね.
ほんと		진짜	本当를 줄인 말. ほんと？로 되묻고 ほんとに로 강조한다.
ちょっと		좀	거절할 때 それはちょっと…로 말끝을 흐린다. 끝까지 말 안 하는 게 예의다.
そろそろ		슬슬	そろそろ行こうか — 자리에서 일어나자는 신호.
とにかく		어쨌든	얘기가 길어질 때 잘라 내고 본론으로.
けっこう		꽤 · 됐어요	'꽤'도 되고 사양할 때 '됐습니다'도 된다. 뜻이 정반대로 갈린다.
すごい		대단하다	회화에선 すご로 끊거나 すげー로 늘인다.
うまい		맛있다 · 잘한다	おいしい보다 거친 말. 남자들이 많이 쓴다.
いい感じ	いいかんじ	괜찮은데	딱 꼬집어 말하지 않고 좋다고 할 때.
どっちでもいい		아무거나	고르라는데 정말 상관없을 때.
ついでに		하는 김에	ついでに買ってきて — 나간 김에 사 와.
まあまあ		그럭저럭	어떠냐고 물으면 나오는 무난한 대답. 싸움 말릴 때도 まあまあ.
ちがう		아니야	'틀리다'가 아니라 그냥 부정할 때 이 말을 쓴다.
ちゃんと		제대로	ちゃんとして — 똑바로 해.
どうしよう		어쩌지	곤란할 때 나오는 혼잣말.
助かる	たすかる	살았다 · 고마워	도움받았을 때 ありがとう 대신.
あぶない		위험해 · 큰일 날 뻔	사고 날 뻔했을 때 반사적으로 나온다.
